type,size,doc,inputSplit,reducer,time,memory,data
hadoop,1GB,20doc,20,5,185739,6585171968,2025-05-22 14:15:44
hadoop,2GB,20doc,25,5,306710,8217640960,2025-05-22 14:20:58
hadoop,512KB,20doc,20,15,59197,7425675264,2025-05-22 14:22:04
hadoop,1MB,20doc,20,15,59883,7520104448,2025-05-22 14:23:11
hadoop,512MB,20doc,20,15,137772,8110710784,2025-05-22 14:25:36
hadoop,1GB,20doc,20,15,202763,8266301440,2025-05-22 14:29:05
hadoop,2GB,20doc,25,15,366091,9785569280,2025-05-22 14:35:18
hadoop,512KB,10doc,10,1,27257,2787078144,2025-05-22 15:47:50
hadoop,1MB,10doc,10,1,25979,2808201216,2025-05-22 15:48:23
hadoop,512MB,10doc,10,1,136282,3080028160,2025-05-22 15:50:46
hadoop,1GB,10doc,14,1,209366,4271280128,2025-05-22 15:54:22
hadoop,2GB,10doc,21,1,334122,6302982144,2025-05-22 16:00:03
hadoop,512KB,10doc,10,5,32923,3484020736,2025-05-22 16:00:43
hadoop,1MB,10doc,10,5,31639,3386724352,2025-05-22 16:01:21
hadoop,512MB,10doc,10,5,153787,3696373760,2025-05-22 16:04:02
hadoop,1GB,10doc,14,5,218537,4886937600,2025-05-22 16:07:48
hadoop,2GB,10doc,21,5,379670,7096205312,2025-05-22 16:14:14
hadoop,512KB,10doc,10,15,44953,4959105024,2025-05-22 16:15:06
hadoop,1MB,10doc,10,15,42540,4847968256,2025-05-22 16:15:55
hadoop,512MB,10doc,10,15,144480,5326786560,2025-05-22 16:18:26
hadoop,1GB,10doc,14,15,201727,6493884416,2025-05-22 16:21:54
hadoop,2GB,10doc,21,15,346187,8644616192,2025-05-22 16:27:47
hadoop,512KB,20doc,20,1,40718,5235478528,2025-05-22 16:28:35
hadoop,1MB,20doc,20,1,42017,5261582336,2025-05-22 16:29:23
hadoop,512MB,20doc,20,1,116097,5858906112,2025-05-22 16:31:26
hadoop,1GB,20doc,20,1,182785,5910335488,2025-05-22 16:34:36
hadoop,2GB,20doc,25,1,340064,7372201984,2025-05-22 16:40:23
hadoop,512KB,20doc,20,5,46530,5893230592,2025-05-22 16:41:16
hadoop,1MB,20doc,20,5,46328,5914013696,2025-05-22 16:42:09
hadoop,512MB,20doc,20,5,122191,6497067008,2025-05-22 16:44:18
hadoop,1GB,20doc,20,5,189873,6576480256,2025-05-22 16:47:34
hadoop,2GB,20doc,25,5,356808,8211079168,2025-05-22 16:53:39
hadoop,512KB,20doc,20,15,58620,7660064768,2025-05-22 16:54:44
hadoop,1MB,20doc,20,15,59432,7464075264,2025-05-22 16:55:50
hadoop,512MB,20doc,20,15,131927,8070537216,2025-05-22 16:58:09
hadoop,1GB,20doc,20,15,203957,8211275776,2025-05-22 17:01:40
hadoop,2GB,20doc,25,15,318012,9793044480,2025-05-22 17:07:05
hadoop,512KB,10doc,10,1,26280,2841382912,2025-05-22 20:37:24
hadoop,1MB,10doc,10,1,28447,2754146304,2025-05-22 20:37:59
hadoop,512MB,10doc,10,1,137385,3065389056,2025-05-22 20:40:22
hadoop,1GB,10doc,14,1,207400,4236206080,2025-05-22 20:43:57
hadoop,2GB,10doc,21,1,331734,6255087616,2025-05-22 20:49:36
hadoop,512KB,10doc,10,1,26771,2750627840,2025-05-22 20:50:10
hadoop,1MB,10doc,10,1,25889,2777178112,2025-05-22 20:50:43
hadoop,512MB,10doc,10,1,119143,3090210816,2025-05-22 20:52:48
hadoop,1GB,10doc,14,1,175086,4264488960,2025-05-22 20:55:50
hadoop,2GB,10doc,21,1,343287,6284824576,2025-05-22 21:01:40
hadoop,512KB,10doc,10,5,29653,3437117440,2025-05-22 21:02:18
hadoop,1MB,10doc,10,5,31962,3413340160,2025-05-22 21:02:56
hadoop,512MB,10doc,10,5,157039,3697405952,2025-05-22 21:05:40
hadoop,1GB,10doc,14,5,173285,4834787328,2025-05-22 21:08:40
hadoop,2GB,10doc,21,5,311569,7083806720,2025-05-22 21:13:58
hadoop,512KB,10doc,10,5,32246,3364134912,2025-05-22 21:14:37
hadoop,1MB,10doc,10,5,32024,3450949632,2025-05-22 21:15:16
hadoop,512MB,10doc,10,5,156956,3730522112,2025-05-22 21:18:00
hadoop,1GB,10doc,14,5,172611,4832387072,2025-05-22 21:20:59
hadoop,2GB,10doc,21,5,306892,7092170752,2025-05-22 21:26:13
hadoop,512KB,10doc,10,15,42979,4930736128,2025-05-22 21:27:04
hadoop,1MB,10doc,10,15,44014,4958834688,2025-05-22 21:27:55
hadoop,512MB,10doc,10,15,143273,5338296320,2025-05-22 21:30:25
hadoop,1GB,10doc,14,15,182142,6472962048,2025-05-22 21:33:34
hadoop,2GB,10doc,21,15,312556,8654385152,2025-05-22 21:38:53
hadoop,512KB,10doc,10,15,42801,4929884160,2025-05-22 21:39:43
hadoop,1MB,10doc,10,15,44466,5012316160,2025-05-22 21:40:34
hadoop,512MB,10doc,10,15,118614,5357096960,2025-05-22 21:42:39
hadoop,1GB,10doc,14,15,218392,6507741184,2025-05-22 21:46:25
hadoop,2GB,10doc,21,15,314754,8669569024,2025-05-22 21:51:47
hadoop,512KB,20doc,20,1,42424,5307768832,2025-05-22 21:52:36
hadoop,1MB,20doc,20,1,41456,5325594624,2025-05-22 21:53:24
hadoop,512MB,20doc,20,1,120002,5852172288,2025-05-22 21:55:31
hadoop,1GB,20doc,20,1,175827,5881311232,2025-05-22 21:58:34
hadoop,2GB,20doc,25,1,352887,7377620992,2025-05-22 22:04:33
hadoop,512KB,20doc,20,1,42072,5224513536,2025-05-22 22:05:22
hadoop,1MB,20doc,20,1,42123,5312114688,2025-05-22 22:06:11
hadoop,512MB,20doc,20,1,120818,5867880448,2025-05-22 22:08:18
hadoop,1GB,20doc,20,1,202078,5887447040,2025-05-22 22:11:47
hadoop,2GB,20doc,25,1,333421,7413055488,2025-05-22 22:17:27
hadoop,512KB,20doc,20,5,44349,5983367168,2025-05-22 22:18:18
hadoop,1MB,20doc,20,5,45831,5919256576,2025-05-22 22:19:11
hadoop,512MB,20doc,20,5,121480,6492938240,2025-05-22 22:21:19
hadoop,1GB,20doc,20,5,192313,6596218880,2025-05-22 22:24:39
hadoop,2GB,20doc,25,5,308601,8215138304,2025-05-22 22:29:55
hadoop,512KB,20doc,20,5,43651,5986217984,2025-05-22 22:30:45
hadoop,1MB,20doc,20,5,44892,5957509120,2025-05-22 22:31:36
hadoop,512MB,20doc,20,5,126864,6475735040,2025-05-22 22:33:50
hadoop,1GB,20doc,20,5,201402,6604505088,2025-05-22 22:37:19
hadoop,2GB,20doc,25,5,314128,8216072192,2025-05-22 22:42:40
hadoop,512KB,20doc,20,15,59087,7377240064,2025-05-22 22:43:46
hadoop,1MB,20doc,20,15,60384,7478353920,2025-05-22 22:44:53
hadoop,512MB,20doc,20,15,138715,8056213504,2025-05-22 22:47:19
hadoop,1GB,20doc,20,15,209058,8264224768,2025-05-22 22:50:55
hadoop,2GB,20doc,25,15,361550,9712443392,2025-05-22 22:57:03
hadoop,512KB,20doc,20,15,57976,7538921472,2025-05-22 22:58:08
hadoop,1MB,20doc,20,15,58785,7474761728,2025-05-22 22:59:13
hadoop,512MB,20doc,20,15,143202,8107929600,2025-05-22 23:01:43
hadoop,1GB,20doc,20,15,220332,8157622272,2025-05-22 23:05:31
hadoop,2GB,20doc,25,15,317588,9799323648,2025-05-22 23:10:56
hadoop,512KB,10doc,10,1,122651,2870681600,2025-05-23 09:58:40
hadoop,1MB,10doc,10,1,26052,2889056256,2025-05-23 09:59:13
hadoop,512MB,10doc,10,1,116445,3094065152,2025-05-23 10:01:16
hadoop,1GB,10doc,14,1,193152,4275453952,2025-05-23 10:04:41
hadoop,2GB,10doc,21,1,222981,6245498880,2025-05-23 10:08:33
hadoop,512KB,10doc,10,5,26629,3410714624,2025-05-23 10:09:08
hadoop,1MB,10doc,10,5,28780,3493072896,2025-05-23 10:09:43
hadoop,512MB,10doc,10,5,114701,3717984256,2025-05-23 10:11:45
hadoop,1GB,10doc,14,5,170722,4902014976,2025-05-23 10:14:42
hadoop,2GB,10doc,21,5,224142,7056404480,2025-05-23 10:18:34
hadoop,512KB,10doc,10,15,41496,4945649664,2025-05-23 10:19:22
hadoop,1MB,10doc,10,15,41809,4989534208,2025-05-23 10:20:10
hadoop,512MB,10doc,10,15,134139,5374873600,2025-05-23 10:22:31
hadoop,1GB,10doc,14,15,148448,6564814848,2025-05-23 10:25:06
hadoop,2GB,10doc,21,15,249280,8765714432,2025-05-23 10:29:22
hadoop,512KB,20doc,20,1,34184,5350940672,2025-05-23 10:30:02
hadoop,1MB,20doc,20,1,31735,5425377280,2025-05-23 10:30:41
hadoop,512MB,20doc,20,1,95003,5882142720,2025-05-23 10:32:22
hadoop,1GB,20doc,20,1,143611,5935693824,2025-05-23 10:34:53
hadoop,2GB,20doc,25,1,238087,7382134784,2025-05-23 10:38:58
hadoop,512KB,20doc,20,5,37471,6060298240,2025-05-23 10:39:43
hadoop,1MB,20doc,20,5,38870,6078566400,2025-05-23 10:40:29
hadoop,512MB,20doc,20,5,101516,6418874368,2025-05-23 10:42:18
hadoop,1GB,20doc,20,5,171372,6604591104,2025-05-23 10:45:16
hadoop,2GB,20doc,25,5,235630,8140230656,2025-05-23 10:49:21
hadoop,512KB,20doc,20,15,43852,7686422528,2025-05-23 10:50:13
hadoop,1MB,20doc,20,15,43672,7532556288,2025-05-23 10:51:03
hadoop,512MB,20doc,20,15,112239,8177881088,2025-05-23 10:53:02
hadoop,1GB,20doc,20,15,134967,8174157824,2025-05-23 10:55:24
hadoop,2GB,20doc,25,15,268902,9804529664,2025-05-23 10:59:59
hadoop,512KB,10doc,10,1,31098,2785611776,2025-05-23 12:26:12
hadoop,1MB,10doc,10,1,26313,2889961472,2025-05-23 12:26:45
hadoop,512MB,10doc,10,1,130430,3065483264,2025-05-23 12:29:03
hadoop,1GB,10doc,14,1,181626,4274442240,2025-05-23 12:32:12
hadoop,2GB,10doc,21,1,231644,6258626560,2025-05-23 12:36:12
hadoop,512KB,10doc,10,1,25606,2778095616,2025-05-23 12:36:44
hadoop,1MB,10doc,10,1,27073,2789785600,2025-05-23 12:37:18
hadoop,512MB,10doc,10,1,117392,3089428480,2025-05-23 12:39:23
hadoop,1GB,10doc,14,1,176942,4253061120,2025-05-23 12:42:31
hadoop,2GB,10doc,21,1,223601,6284201984,2025-05-23 12:46:24
hadoop,512KB,10doc,10,1,26204,2769678336,2025-05-23 12:46:57
hadoop,1MB,10doc,10,1,25630,2849943552,2025-05-23 12:47:29
hadoop,512MB,10doc,10,1,104638,3071574016,2025-05-23 12:49:21
hadoop,1GB,10doc,14,1,169152,4232507392,2025-05-23 12:52:17
hadoop,2GB,10doc,21,1,221703,6280167424,2025-05-23 12:56:06
hadoop,512KB,10doc,10,5,26256,3567091712,2025-05-23 12:56:39
hadoop,1MB,10doc,10,5,29829,3528667136,2025-05-23 12:57:15
hadoop,512MB,10doc,10,5,98910,3690999808,2025-05-23 12:59:01
hadoop,1GB,10doc,14,5,186564,4920000512,2025-05-23 13:02:15
hadoop,2GB,10doc,21,5,220161,7026012160,2025-05-23 13:06:03
hadoop,512KB,10doc,10,5,35165,3462488064,2025-05-23 13:06:44
