type,size,doc,input_partitions,real_partition,time,date
spark,1GB,20doc,15,15,317794,2025-05-24 18:33:21
spark,2GB,20doc,15,15,932518,2025-05-24 18:49:21
spark,512KB,10doc,-1,2,30750,2025-05-24 20:09:34
spark,1MB,10doc,-1,2,29997,2025-05-24 20:10:20
spark,512MB,10doc,-1,5,156723,2025-05-24 20:13:14
spark,1GB,10doc,-1,9,245185,2025-05-24 20:17:40
spark,2GB,10doc,-1,17,432551,2025-05-24 20:25:21
spark,512KB,10doc,-1,2,30843,2025-05-24 20:26:10
spark,1MB,10doc,-1,2,29422,2025-05-24 20:26:54
spark,512MB,10doc,-1,5,154368,2025-05-24 20:29:42
spark,1GB,10doc,-1,9,242407,2025-05-24 20:34:03
spark,2GB,10doc,-1,17,434516,2025-05-24 20:41:35
spark,512KB,10doc,-1,2,30966,2025-05-24 20:42:29
spark,1MB,10doc,-1,2,28757,2025-05-24 20:43:14
spark,512MB,10doc,-1,5,156106,2025-05-24 20:46:06
spark,1GB,10doc,-1,9,247311,2025-05-24 20:50:30
spark,2GB,10doc,-1,17,419555,2025-05-24 20:57:57
spark,512KB,10doc,5,5,31794,2025-05-24 20:58:56
spark,1MB,10doc,5,5,31260,2025-05-24 20:59:54
spark,512MB,10doc,5,5,167406,2025-05-24 21:02:58
spark,1GB,10doc,5,5,438772,2025-05-24 21:10:37
spark,2GB,10doc,5,5,688363,2025-05-24 21:22:24
spark,512KB,10doc,5,5,37033,2025-05-24 21:23:20
spark,1MB,10doc,5,5,34422,2025-05-24 21:24:15
spark,512MB,10doc,5,5,164337,2025-05-24 21:27:17
spark,1GB,10doc,5,5,293118,2025-05-24 21:32:35
spark,2GB,10doc,5,5,545345,2025-05-24 21:41:58
spark,512KB,10doc,5,5,34183,2025-05-24 21:42:53
spark,1MB,10doc,5,5,31994,2025-05-24 21:43:39
spark,512MB,10doc,5,5,168648,2025-05-24 21:46:45
spark,1GB,10doc,5,5,303379,2025-05-24 21:52:11
spark,2GB,10doc,5,5,704761,2025-05-24 22:04:23
spark,512KB,10doc,15,15,38441,2025-05-24 22:05:25
spark,1MB,10doc,15,15,36721,2025-05-24 22:06:17
spark,512MB,10doc,15,15,160031,2025-05-24 22:09:14
spark,1GB,10doc,15,15,270158,2025-05-24 22:14:02
spark,2GB,10doc,15,15,490568,2025-05-24 22:22:32
spark,512KB,10doc,15,15,38248,2025-05-24 22:23:27
spark,1MB,10doc,15,15,37286,2025-05-24 22:24:18
spark,512MB,10doc,15,15,155007,2025-05-24 22:27:14
spark,1GB,10doc,15,15,284933,2025-05-24 22:32:24
spark,2GB,10doc,15,15,914991,2025-05-24 22:48:00
spark,512KB,10doc,15,15,31781,2025-05-24 22:49:00
spark,1MB,10doc,15,15,35724,2025-05-24 22:49:53
spark,512MB,10doc,15,15,154649,2025-05-24 22:52:43
spark,1GB,10doc,15,15,263244,2025-05-24 22:57:28
spark,2GB,10doc,15,15,482796,2025-05-24 23:05:51
spark,512KB,20doc,-1,2,29809,2025-05-24 23:06:39
spark,1MB,20doc,-1,2,28880,2025-05-24 23:07:22
spark,512MB,20doc,-1,6,158095,2025-05-24 23:10:16
spark,1GB,20doc,-1,10,235081,2025-05-24 23:14:32
spark,2GB,20doc,-1,20,429445,2025-05-24 23:22:08
spark,512KB,20doc,-1,2,28618,2025-05-24 23:23:03
spark,1MB,20doc,-1,2,28485,2025-05-24 23:23:52
spark,512MB,20doc,-1,6,158963,2025-05-24 23:26:46
spark,1GB,20doc,-1,10,238955,2025-05-24 23:31:02
spark,2GB,20doc,-1,20,429238,2025-05-24 23:38:37
spark,512KB,20doc,-1,2,32202,2025-05-24 23:39:32
spark,1MB,20doc,-1,2,29410,2025-05-24 23:40:17
spark,512MB,20doc,-1,6,159329,2025-05-24 23:43:13
spark,1GB,20doc,-1,10,422648,2025-05-24 23:50:37
spark,2GB,20doc,-1,20,435500,2025-05-24 23:58:13
spark,512KB,20doc,5,5,31581,2025-05-24 23:59:13
spark,1MB,20doc,5,5,31435,2025-05-25 00:00:02
spark,512MB,20doc,5,5,250757,2025-05-25 00:04:29
spark,1GB,20doc,5,5,404622,2025-05-25 00:11:36
spark,2GB,20doc,5,5,752418,2025-05-25 00:24:31
spark,512KB,20doc,5,5,35758,2025-05-25 00:25:27
spark,1MB,20doc,5,5,32011,2025-05-25 00:26:17
spark,512MB,20doc,5,5,235172,2025-05-25 00:30:31
spark,1GB,20doc,5,5,282566,2025-05-25 00:35:37
spark,2GB,20doc,5,5,921007,2025-05-25 00:51:24
spark,512KB,20doc,5,5,31836,2025-05-25 00:52:32
spark,1MB,20doc,5,5,33135,2025-05-25 00:53:22
spark,512MB,20doc,5,5,253221,2025-05-25 00:57:49
spark,1GB,20doc,5,5,328122,2025-05-25 01:03:38
spark,2GB,20doc,5,5,539918,2025-05-25 01:13:01
spark,512KB,20doc,15,15,39129,2025-05-25 01:14:01
spark,1MB,20doc,15,15,39077,2025-05-25 01:15:01
spark,512MB,20doc,15,15,262600,2025-05-25 01:19:40
spark,1GB,20doc,15,15,357413,2025-05-25 01:25:59
spark,2GB,20doc,15,15,567732,2025-05-25 01:35:50
spark,512KB,20doc,15,15,37080,2025-05-25 01:36:55
spark,1MB,20doc,15,15,37403,2025-05-25 01:37:46
spark,512MB,20doc,15,15,254969,2025-05-25 01:42:20
spark,1GB,20doc,15,15,456686,2025-05-25 01:50:23
spark,2GB,20doc,15,15,499403,2025-05-25 01:59:07
spark,512KB,20doc,15,15,36024,2025-05-25 02:00:05
spark,1MB,20doc,15,15,46357,2025-05-25 02:01:10
spark,512MB,20doc,15,15,256704,2025-05-25 02:05:44
spark,1GB,20doc,15,15,357401,2025-05-25 02:11:58
spark,2GB,20doc,15,15,485175,2025-05-25 02:20:24
spark,512KB,10doc,-1,2,29507,2025-05-25 03:05:14
spark,1MB,10doc,-1,2,28722,2025-05-25 03:06:03
spark,512MB,10doc,-1,5,150834,2025-05-25 03:08:51
spark,1GB,10doc,-1,9,239907,2025-05-25 03:13:13
spark,2GB,10doc,-1,17,428531,2025-05-25 03:20:42
spark,512KB,10doc,-1,2,28912,2025-05-25 03:21:26
spark,1MB,10doc,-1,2,29676,2025-05-25 03:22:15
spark,512MB,10doc,-1,5,147669,2025-05-25 03:24:59
spark,1GB,10doc,-1,9,240363,2025-05-25 03:29:27
spark,2GB,10doc,-1,17,433599,2025-05-25 03:37:13
spark,512KB,10doc,-1,2,27678,2025-05-25 03:38:09
spark,1MB,10doc,-1,2,28918,2025-05-25 03:38:52
spark,512MB,10doc,-1,5,153432,2025-05-25 03:41:40
spark,1GB,10doc,-1,9,243867,2025-05-25 03:46:01
spark,2GB,10doc,-1,17,423309,2025-05-25 03:53:24
spark,512KB,10doc,-1,2,29302,2025-05-25 03:54:18
spark,1MB,10doc,-1,2,32169,2025-05-25 03:55:07
spark,512MB,10doc,-1,5,153990,2025-05-25 03:57:56
spark,1GB,10doc,-1,9,248606,2025-05-25 04:02:23
spark,2GB,10doc,-1,17,427698,2025-05-25 04:09:51
spark,512KB,10doc,5,5,32341,2025-05-25 04:10:50
spark,1MB,10doc,5,5,35335,2025-05-25 04:11:43
spark,512MB,10doc,5,5,162686,2025-05-25 04:14:42
spark,1GB,10doc,5,5,335960,2025-05-25 04:20:40
spark,2GB,10doc,5,5,671450,2025-05-25 04:32:15
spark,512KB,10doc,5,5,31126,2025-05-25 04:33:18
spark,1MB,10doc,5,5,30841,2025-05-25 04:34:06
